,Ticket Number,Date/Time,Parking Division,Ticket Location,Meter,Violation Code,Violation Description,Plate Year,Vehicle Make,Plate Month,Vehicle Type,Vehicle Color,Remarks,Issuing Agency
0,413601226,06/30/2023 12:51:00 PM,4,G13-11219 GRANDVIEW AVE,3132064.0,50,EXPIRED PRKG METER,2023.0,MINI,8.0,2D,RE,15 HR PARKING NO PERMIT DISPLAY. ( TEMPORARY TAG),DOT
1,413574405,06/23/2023 01:37:00 AM,3,900 SLIGO AVE,,7,OVERTM PRKG - STREET,,NISS,,SU,MA,MARK 1 OF 2 AT 09:48 AM ELAPSED: 03:48|2 HR PARKING/METER#1207611. SIGNS POSTED/NO LIECENCE#DISPLAY ON THE VEHICLE.,DOT
2,411650621,09/19/2022 07:19:00 AM,3,8600 SECOND AVE,1207102.0,50,EXPIRED PRKG METER,2024.0,VOLK,6.0,SU,SI,2 HR PARKING/ZONE#1207102,DOT
3,413274842,04/15/2023 07:28:00 AM,2,4800 RUGBY AVE,1104727.0,50,EXPIRED PRKG METER,2023.0,BMW,5.0,4D,BK,2 HR PARKING,DOT
4,412507616,04/04/2023 08:33:00 AM,3,G2-8700 CAMERON ST,3021007.0,50,EXPIRED PRKG METER,2024.0,FORD,3.0,4D,BK,2 HR PARKING,DOT
5,411960802,11/29/2022 08:13:00 AM,3,1100 RIPLEY ST,1208919.0,50,EXPIRED PRKG METER,2023.0,HYUN,7.0,SU,WH,2 HR PARKING,DOT
6,413296310,04/21/2023 06:04:00 AM,2,L43-8009 WOODMONT AVE,2430013.0,50,EXPIRED PRKG METER,2024.0,MAZD,12.0,4D,BK,2 HR PARKING,DOT
7,412289231,02/11/2023 02:02:00 AM,2,4700 HIGHLAND AVE,1103202.0,50,EXPIRED PRKG METER,2023.0,BMW,1.0,4D,BK,2 HR PARKING. TEMPORARY TAG DISPLAYED. VIN NO. WBA33EJ05PCM26952,DOT
8,412255303,02/03/2023 07:37:00 AM,9,4730 BRADLEY BLVD,,2,UNREGISTERED VEH  ON STR,2022.0,TOYT,12.0,SU,WH,EXPIRED TAGS,DOT
9,411637516,09/15/2022 06:00:00 AM,8,11300 WOODGLEN DR,1504168.0,50,EXPIRED PRKG METER,2023.0,TOYT,1.0,PU,GY,2 HR PARKING,DOT
10,413352015,05/02/2023 11:05:00 AM,3,G58-1315 EAST WEST HWY,3583136.0,50,EXPIRED PRKG METER,2023.0,TOYT,8.0,SU,BL,15 HR PARKING/NO PCS PARKING ON THIS LEVEL. SIGNS POSTED,DOT
11,411401653,07/27/2022 07:15:00 AM,2,7900 WOODMONT AVE,,2,UNREGISTERED VEH  ON STR,2022.0,FORD,5.0,VN,WH,EXPIRED TAGS DISPLAY STICKERS 05-2022,DOT
12,411601002,09/08/2022 08:21:00 AM,2,G57-4841 BETHESDA AVE,3571114.0,50,EXPIRED PRKG METER,2023.0,SUBA,1.0,SU,SI,4 HR PARKING,DOT
13,412402874,03/17/2023 02:22:00 AM,3,900 GIST AVE,1205905.0,50,EXPIRED PRKG METER,2023.0,FORD,6.0,VN,WH,1 HR PARKING,DOT
14,412278930,02/13/2023 01:53:00 AM,2,4800 BETHESDA AVE,,7,OVERTM PRKG - STREET,2023.0,CHEV,12.0,VN,WH,MARK 1 OF 2 AT 12:22 PM ELAPSED: 01:31|1 HR PARKING. 9AM-10PM EXCEPT SUNDAY. SIGNS POSTED,DOT
15,412482486,03/31/2023 02:27:00 AM,3,900 BONIFANT ST,1201239.0,50,EXPIRED PRKG METER,2025.0,BMW,1.0,SU,BK,2 HR PARKING,DOT
16,411436141,07/30/2022 05:36:00 AM,2,7800 NORFOLK AVE,1103803.0,50,EXPIRED PRKG METER,,JEEP,,SU,WH,2 HR PARKING,DOT
17,413365433,05/05/2023 08:31:00 AM,8,6400 ROCKLEDGE DR,1503220.0,17,PRK/STND/STOP RUSH H,2024.0,HYUN,2.0,4D,RE,NO STANDING 7AM-9:30AM MONDAY-FRIDAY/. SIGNS POSTED,DOT
18,412329831,02/24/2023 12:08:00 PM,3,G3-913 SILVER SPRING AVE,,42,UNREG VEH OFF STREET,2022.0,LEXS,10.0,4D,GO,EXPIRED TAGS/10 2022,DOT
19,412452025,03/25/2023 12:08:00 PM,8A,951 ROSE AVE,1505602.0,50,EXPIRED PRKG METER,2024.0,TESL,11.0,SU,BK,1 HR PARKING,DOT
20,411846746,11/02/2022 07:06:00 AM,2,7770 WOODMONT AVE,1107302.0,17,PRK/STND/STOP RUSH H,2023.0,CHEV,9.0,PU,SI,NO STANDING 6:30AM-9:30AM MON-FRI. SIGNS POSTED,DOT
21,413307646,04/21/2023 05:29:00 AM,3,900 SILVER SPRING AVE,1207533.0,50,EXPIRED PRKG METER,2024.0,HOND,11.0,4D,WH,2 HR PARKING,DOT
22,411403985,07/28/2022 07:39:00 AM,2,7600 WOODMONT AVE,1107206.0,17,PRK/STND/STOP RUSH H,2024.0,CHEV,3.0,VN,WH,NO STANDING 6:30AM-9:30AM MON-FRI. SIGNS POSTED,DOT
23,412330063,02/27/2023 10:25:00 AM,2,7800 NORFOLK AVE,1103803.0,50,EXPIRED PRKG METER,2024.0,MINI,,4D,WH,2 HR PARKING,DOT
24,411650831,09/19/2022 09:09:00 AM,3,G2-8700 CAMERON ST,3021098.0,50,EXPIRED PRKG METER,2022.0,HOND,10.0,4D,BK,2 HR PARKING,DOT
25,412452504,03/25/2023 06:16:00 AM,2,4700 W VIRGINIA AVE,1105202.0,50,EXPIRED PRKG METER,2023.0,TOYT,6.0,SU,SI,2 HR PARKING,DOT
26,412060095,12/16/2022 06:15:00 AM,8,11300 WOODGLEN DR,1504176.0,50,EXPIRED PRKG METER,2023.0,HOND,10.0,4D,WH,2 HR PARKING,DOT
27,411404652,07/27/2022 04:46:00 AM,3,G7-8530 CAMERON ST,3070025.0,50,EXPIRED PRKG METER,2023.0,FORD,9.0,2D,GY,15 HR PARKING/NO PERMIT,DOT
28,411845803,11/02/2022 07:01:00 AM,4,2400 ENNALLS AVE,1301808.0,50,EXPIRED PRKG METER,2024.0,CHEV,1.0,VN,WH,2 HR PARKING,DOT
29,411825201,10/27/2022 09:48:00 AM,3,8700 FIRST AVE,1204702.0,50,EXPIRED PRKG METER,2024.0,HOND,6.0,4D,RE,2 HR PARKING,DOT
30,412187215,01/18/2023 08:31:00 AM,2,G49-7601 WOODMONT AVE,3490001.0,50,EXPIRED PRKG METER,2023.0,TOYT,8.0,4D,BK,15 HR PARKING NO PERMIT DISPLAY,DOT
31,411511833,08/18/2022 10:05:00 AM,2,G57-4841 BETHESDA AVE,3570112.0,50,EXPIRED PRKG METER,2023.0,JEEP,12.0,SU,BK,2 HR PARKING,DOT
32,412425042,03/22/2023 10:40:00 AM,3,G2-8700 CAMERON ST,,42,UNREG VEH OFF STREET,2023.0,FORD,2.0,SU,RE,EXPIRED TAGS 02/2023,DOT
33,412045561,12/16/2022 07:15:00 AM,2,4700 W VIRGINIA AVE,1105205.0,50,EXPIRED PRKG METER,2023.0,BUIC,12.0,SU,MA,2 HR PARKING,DOT
34,411563530,08/29/2022 04:51:00 AM,3,G2-8700 CAMERON ST,3020263.0,50,EXPIRED PRKG METER,2023.0,HYUN,8.0,4D,WH,2 HR PARKING,DOT
35,413473060,05/30/2023 05:35:00 AM,8A,11875 GRAND PARK AVE,1504901.0,50,EXPIRED PRKG METER,2024.0,MERZ,8.0,4D,BK,1 HR PARKING,DOT
36,411873136,11/08/2022 08:28:00 AM,3,8000 NEWELL ST,1206316.0,50,EXPIRED PRKG METER,2023.0,HOND,10.0,SU,BK,13 HR PARKING/NO PCS PERMIT DISPLAYED,DOT
37,411331863,07/15/2022 11:14:00 AM,3,G2-8700 CAMERON ST,,42,UNREG VEH OFF STREET,2022.0,TOYT,3.0,4D,GY,EXPIRED TAGS,DOT
38,413261962,04/14/2023 09:12:00 AM,3,G2-8700 CAMERON ST,3022126.0,50,EXPIRED PRKG METER,2024.0,HYUN,11.0,4D,SI,15 HR PARKING NO PERMIT DISPLAY,DOT
39,411699724,09/29/2022 12:14:00 PM,3,G58-1315 EAST WEST HWY,3582053.0,50,EXPIRED PRKG METER,2024.0,HOND,9.0,SU,GY,15 HR PARKING. NO PCS PERMIT,DOT
40,412501891,04/04/2023 08:20:00 AM,4,11100 AMHERST AVE,1301054.0,50,EXPIRED PRKG METER,2023.0,HOND,3.0,2D,RE,13 HR PARKING/NO PCS PERMIT DISPLAYED,DOT
41,411320814,07/09/2022 05:59:00 AM,2,4900 FAIRMONT AVE,1102931.0,50,EXPIRED PRKG METER,2024.0,HOND,1.0,4D,SI,2 HR PARKING,DOT
42,413458931,05/25/2023 01:45:00 AM,3,1319 FENWICK LN,,12,PRK/STND/STOP CROSS,2024.0,FRHT,3.0,TK,WH,BLOCKING CROSSWALK.,DOT
43,412376075,03/08/2023 02:12:00 AM,3,1100 FIDLER LN,1204507.0,50,EXPIRED PRKG METER,2023.0,JEEP,6.0,SU,GY,1 HR PARKING,DOT
44,412346303,03/16/2023 09:27:00 AM,3,G5-1101 BONIFANT ST,3053320.0,50,EXPIRED PRKG METER,2024.0,TOYT,9.0,SU,GY,15 HR PARKING/NO PCS PRMT,DOT
45,412500362,04/01/2023 08:45:00 AM,2,4900 FAIRMONT AVE,1102931.0,50,EXPIRED PRKG METER,2022.0,ACUR,11.0,2D,BL,2 HR PARKING,DOT
46,411456695,08/05/2022 05:07:00 AM,8,11300 WOODGLEN DR,1504170.0,50,EXPIRED PRKG METER,2023.0,HYUN,4.0,4D,GY,2 HR PARKING,DOT
47,411915976,12/15/2022 02:17:00 AM,3,G7-8530 CAMERON ST,3071187.0,50,EXPIRED PRKG METER,2023.0,HOND,12.0,4D,GY,15 HR PARKING. AM/PM PCS PERMIT #87825 DEC 2022 DISPLAYED,DOT
48,411332375,07/12/2022 04:17:00 AM,3,G5-1101 BONIFANT ST,3053311.0,50,EXPIRED PRKG METER,2023.0,VOLK,2.0,4D,BK,15 HR PARKING/NO PCS PERMIT,DOT
49,411396602,07/26/2022 07:35:00 AM,3,G7-8530 CAMERON ST,3070118.0,50,EXPIRED PRKG METER,2022.0,DODG,12.0,PU,BK,2 HR PARKING,DOT
50,411985464,12/05/2022 06:38:00 AM,3,G7-8530 CAMERON ST,34.0,36,OFFICIAL SIGN OFF ST,2024.0,MAZD,1.0,4D,GY,CARPOOL PERMIT ONLY. 6AM-9:30AM MON-FRI. SIGNS POSTED/NO CARPOOL PERMIT /PCS 12/2022 #85912,DOT
51,411776330,10/15/2022 09:15:00 AM,2,7900 WOODMONT AVE,1107408.0,50,EXPIRED PRKG METER,2023.0,VOLV,2.0,4D,DB,2 HR PARKING,DOT
52,411423913,07/30/2022 09:02:00 AM,8A,11860 GRAND PARK AVE,1504902.0,50,EXPIRED PRKG METER,2022.0,HOND,7.0,4D,BK,1 HR PARKING,DOT
53,411966310,11/28/2022 05:36:00 AM,4,L14-2425 HICKERSON DR,2140014.0,50,EXPIRED PRKG METER,2022.0,UNK,12.0,2D,BK,2 HR PARKING,DOT
54,413536185,06/15/2023 06:35:00 AM,2,G40-4935 ST ELMO AVE,3400030.0,50,EXPIRED PRKG METER,2024.0,MERZ,7.0,SU,BL,2 HR PARKING,DOT
55,411646572,09/17/2022 05:45:00 AM,2,7600 NORFOLK AVE,1103714.0,50,EXPIRED PRKG METER,2023.0,LEXS,2.0,4D,GY,2 HR PARKING,DOT
56,412220104,01/26/2023 12:55:00 PM,2,G42-4720 CHELTENHAM DR,3422026.0,50,EXPIRED PRKG METER,2023.0,CHEV,1.0,SU,GY,15 HR PARKING NO PERMIT,DOT
57,412239461,02/02/2023 01:26:00 AM,2,G40-4935 ST ELMO AVE,3400021.0,50,EXPIRED PRKG METER,2023.0,CHEV,10.0,SU,SI,2 HR PARKING,DOT
58,411415535,07/29/2022 11:16:00 AM,4,11100 GEORGIA AVE,1303753.0,50,EXPIRED PRKG METER,2022.0,NISS,8.0,4D,GY,2 HR PARKING,DOT
59,411312613,07/08/2022 04:43:00 AM,3,G4-8100 FENTON ST,3041007.0,50,EXPIRED PRKG METER,2023.0,HOND,7.0,4D,SI,2 HR PARKING,DOT
60,413468090,05/27/2023 02:29:00 AM,2,4800 MOORLAND LN,,35,VIOLATION OFFICIAL SIGN  ON STREET,2025.0,TESL,4.0,4D,BL,NO STOPPING ANYTIME. SIGNS POSTED,DOT
61,413501653,06/06/2023 10:50:00 AM,3,1000 KING ST,1206223.0,50,EXPIRED PRKG METER,2024.0,TOYT,9.0,4D,BK,2 HR PARKING,DOT
62,411616494,09/10/2022 05:55:00 AM,8A,951 ROSE AVE,1505602.0,50,EXPIRED PRKG METER,2024.0,KIA,4.0,SU,GY,1 HR PARKING,DOT
63,411830790,10/28/2022 12:11:00 PM,2,L43-8009 WOODMONT AVE,2430004.0,50,EXPIRED PRKG METER,2024.0,SUBA,9.0,SU,GY,1 HR PARKING,DOT
64,411572663,08/31/2022 12:29:00 PM,2,G47-7401 WAVERLY ST,3471099.0,50,EXPIRED PRKG METER,2024.0,VOLK,3.0,4D,SI,1 HR PARKING,DOT
65,413443310,05/22/2023 08:48:00 AM,3,G16-1011 KING ST,3161124.0,50,EXPIRED PRKG METER,2022.0,HOND,11.0,4D,GY,15 HR PARKING NO PERMIT DISPLAY,DOT
66,411602251,09/07/2022 06:26:00 AM,3,G5-1101 BONIFANT ST,3050093.0,50,EXPIRED PRKG METER,2023.0,AUDI,1.0,SU,SI,2 HR PARKING,DOT
67,413366752,05/08/2023 03:49:00 AM,3,G2-8700 CAMERON ST,3022215.0,50,EXPIRED PRKG METER,2025.0,HOND,4.0,4D,GY,15 HR PARKING. NO PCS PERMIT,DOT
68,411462575,08/05/2022 02:43:00 AM,3,G55-8400 DIXON AVE,,36,OFFICIAL SIGN OFF ST,2022.0,INFI,8.0,SU,BK,PCS PERMIT ONLY/NO PERMIT. SIGNS POSTED/AT POLE#2067. . TEMPORARY TAG DISPLAYED/VIN#JNRBS18W99M200799,DOT
69,411628221,09/14/2022 07:09:00 AM,2,7023 WISCONSIN AVE,1105713.0,17,PRK/STND/STOP RUSH H,2023.0,TOYT,3.0,4D,MC,NO STOPPING 6:30AM-9:30AM MON-FRI. SIGNS POSTED,DOT
70,411922276,12/12/2022 06:11:00 AM,4,11300 ELKIN ST,1301619.0,50,EXPIRED PRKG METER,2023.0,FORD,2.0,SU,GY,2 HR PARKING,DOT
71,411337920,07/13/2022 07:51:00 AM,3,900 THAYER AVE,1208321.0,50,EXPIRED PRKG METER,,KIA,10.0,4D,BK,1 HR PARKING,DOT
72,412291386,02/15/2023 07:40:00 AM,3,G2-8700 CAMERON ST,3021110.0,50,EXPIRED PRKG METER,2023.0,NISS,1.0,4D,BK,2 HR PARKING,DOT
73,411943405,11/25/2022 09:29:00 AM,3,G7-8530 CAMERON ST,3070122.0,50,EXPIRED PRKG METER,2022.0,TOYT,8.0,4D,GY,2 HR PARKING,DOT
74,412283535,02/10/2023 09:33:00 AM,3,G61-801 ELLSWORTH DR,,42,UNREG VEH OFF STREET,2020.0,FORD,5.0,SU,WH,EXPIRED TAGS-DISPLAY STICKER 05/30/2020,DOT
75,412015763,12/12/2022 12:23:00 PM,2,4800 ST ELMO AVE,,7,OVERTM PRKG - STREET,2023.0,FORD,4.0,4D,SI,MARK 1 OF 2 AT 09:43 AM ELAPSED: 02:40|2 HR PARKING. 9AM-10PM EXCEPT SUNDAY. SIGNS POSTED,DOT
76,411984425,12/15/2022 06:54:00 AM,4,11200 GRANDVIEW AVE,1302132.0,50,EXPIRED PRKG METER,2024.0,DODG,5.0,PU,SI,1 HR PARKING,DOT
77,412301805,02/16/2023 03:37:00 AM,4,L14-2425 HICKERSON DR,2140025.0,50,EXPIRED PRKG METER,2024.0,LNDR,4.0,SU,BK,2 HR PARKING,DOT
78,413290931,04/18/2023 06:02:00 AM,8A,11875 GRAND PARK AVE,1504901.0,50,EXPIRED PRKG METER,2020.0,JEEP,12.0,SU,WH,1 HR PARKING,DOT
79,412275581,02/08/2023 09:10:00 AM,2,G11-7730 WOODMONT AVE,3110001.0,50,EXPIRED PRKG METER,2020.0,AUDI,10.0,4D,BK,4 HR PARKING,DOT
80,413518405,06/08/2023 05:59:00 AM,3,900 THAYER AVE,1208333.0,50,EXPIRED PRKG METER,2024.0,FORD,4.0,VN,WH,1 HR PARKING,DOT
81,413258156,04/11/2023 07:46:00 AM,2,G40-4935 ST ELMO AVE,3400033.0,50,EXPIRED PRKG METER,2024.0,ACUR,8.0,SU,RE,2 HR PARKING,DOT
82,411450406,08/04/2022 09:37:00 AM,2,7800 NORFOLK AVE,1103803.0,50,EXPIRED PRKG METER,2023.0,CHEV,10.0,VN,WH,2 HR PARKING,DOT
83,411633762,09/15/2022 06:28:00 AM,2,G57-4841 BETHESDA AVE,3570146.0,50,EXPIRED PRKG METER,2023.0,SUBA,12.0,SU,BK,2 HR PARKING,DOT
84,413378372,05/08/2023 09:23:00 AM,3,1100 RIPLEY ST,1208903.0,50,EXPIRED PRKG METER,,DODG,,2D,MA,2 HR PARKING,DOT
85,411532391,08/22/2022 08:27:00 AM,3,8309 SIXTEENTH ST,,35,VIOLATION OFFICIAL SIGN  ON STREET,2023.0,TOYT,6.0,4D,GY,NO PARKING 7AM-7PM MON-FRI. SIGNS POSTED. NO FLASHERS,DOT
86,412363652,03/07/2023 06:59:00 AM,2,6930 WISCONSIN AVE,1105512.0,17,PRK/STND/STOP RUSH H,2023.0,HOND,9.0,SU,BK,NO STOPPING 6:30AM-9:30AM MON-FRI. SIGNS POSTED,DOT
87,411883920,11/14/2022 07:07:00 AM,2,4900 BETHESDA AVE,1101312.0,50,EXPIRED PRKG METER,2024.0,MERZ,10.0,SU,BK,1 HR PARKING,DOT
88,413542091,06/15/2023 12:02:00 PM,2,G35-8216 WOODMONT AVE,3351018.0,50,EXPIRED PRKG METER,2023.0,HOND,,4D,BL,15 HR PARKING. EXPIRED PARKING PERMIT DISPLAY @05280 APR 2023,DOT
89,412219894,01/28/2023 03:59:00 AM,4,2500 ENNALLS AVE,1301901.0,50,EXPIRED PRKG METER,2024.0,HOND,10.0,VN,SI,2 HR PARKING,DOT
90,411458386,08/08/2022 10:14:00 AM,3,800 THIRTEENTH ST,1208415.0,50,EXPIRED PRKG METER,2023.0,TOYT,6.0,SU,WH,2 HR PARKING,DOT
91,413561481,06/20/2023 02:03:00 AM,3,8045 KENNETT ST,,2,UNREGISTERED VEH  ON STR,2023.0,CHEV,5.0,BU,WH,EXPIRED TAGS  05/2023,DOT
92,412350654,03/02/2023 08:54:00 AM,9,12006 BERNARD DR,,54,RES PRKG PERMIT ONLY,2023.0,HOND,3.0,4D,MA,BERNARD /. PERMIT PARKING ONLY /. SIGNS POSTED /. NO DIGITAL PERMIT FOR THIS VEHICLE/,DOT
93,411969246,11/30/2022 02:54:00 AM,3,8600 FENTON ST,1204109.0,50,EXPIRED PRKG METER,2024.0,BMW,5.0,2D,BK,1 HR PARKING,DOT
94,411432560,08/02/2022 06:09:00 AM,3,G5-1101 BONIFANT ST,3050021.0,50,EXPIRED PRKG METER,2023.0,CADI,4.0,SU,RE,2 HR PARKING,DOT
95,413499811,06/06/2023 02:44:00 AM,4,L13-11219 GRANDVIEW AVE,,50,EXPIRED PRKG METER,2023.0,BMW,12.0,SU,WH,2 HR PARKING. ZONE NUMBER 2130001,DOT
96,412383871,03/09/2023 06:49:00 AM,3,8600 SECOND AVE,1207102.0,50,EXPIRED PRKG METER,2024.0,MINI,2.0,2D,CR,2 HR PARKING/ZONE#1207102,DOT
97,413502736,06/05/2023 06:32:00 AM,3,800 ROEDER RD,1207006.0,50,EXPIRED PRKG METER,2024.0,TOYT,9.0,4D,BK,1 HR PARKING,DOT
98,412357912,03/03/2023 08:55:00 AM,3,G55-8400 DIXON AVE,3550085.0,50,EXPIRED PRKG METER,2024.0,TOYT,1.0,4D,RE,2 HR PARKING,DOT
99,411961244,11/26/2022 02:38:00 AM,2,7800 NORFOLK AVE,1103810.0,50,EXPIRED PRKG METER,2024.0,DODG,10.0,SU,WH,2 HR PARKING,DOT
