,Date,Plug-In Hybrid Electric Vehicle (PHEV) Count,Battery Electric Vehicle (BEV) Count,Electric Vehicle (EV) Total
0,January 31 2017,7688,14738,22426
1,February 28 2017,7889,15206,23095
2,March 31 2017,8093,15596,23689
3,April 30 2017,8287,16104,24391
4,May 31 2017,8498,16569,25067
5,June 30 2017,8752,16987,25739
6,July 31 2017,8932,17380,26312
7,August 31 2017,9148,17679,26827
8,September 30 2017,9375,18079,27454
9,October 31 2017,9650,18525,28175
10,November 30 2017,9889,18878,28767
11,December 31 2017,10121,19186,29307
12,January 31 2018,10535,19734,30269
13,February 28 2018,10834,19977,30811
14,March 31 2018,11181,20394,31575
15,April 30 2018,11515,20925,32440
16,May 31 2018,11933,21702,33635
17,June 30 2018,12356,22435,34791
18,July 31 2018,12649,22985,35634
19,August 31 2018,12963,23578,36541
20,September 30 2018,13292,24163,37455
21,October 31 2018,13640,25519,39159
22,November 30 2018,14020,26781,40801
23,December 31 2018,14343,27722,42065
24,January 31 2019,14726,29111,43837
25,February 28 2019,14891,29688,44579
26,March 31 2019,15038,30029,45067
27,April 30 2019,15293,31050,46343
28,May 31 2019,15558,31746,47304
29,June 30 2019,15807,32577,48384
30,July 31 2019,16070,33559,49629
31,August 31 2019,16275,34309,50584
32,September 30 2019,16507,35076,51583
33,October 31 2019,16788,36650,53438
34,November 30 2019,16960,37102,54062
35,December 31 2019,17130,37755,54885
36,January 31 2020,17353,39785,57138
37,February 29 2020,17465,40267,57732
38,March 31 2020,17607,41000,58607
39,April 30 2020,17566,41345,58911
40,May 31 2020,17580,41337,58917
41,June 30 2020,17680,41599,59279
42,July 31 2020,17816,42999,60815
43,August 31 2020,17962,43596,61558
44,September 30 2020,18173,44165,62338
45,October 31 2020,18427,45184,63611
46,November 30 2020,18601,46542,65143
47,December 31 2020,18891,47340,66231
48,January 31 2021,19223,48906,68129
49,February 28 2021,19511,49774,69285
50,March 31 2021,19867,50597,70464
51,April 30 2021,20322,52461,72783
52,May 31 2021,20724,53706,74430
53,June 30 2021,21312,54825,76137
54,July 31 2021,21714,56874,78588
55,August 31 2021,22129,58397,80526
56,September 30 2021,22456,59596,82052
57,October 31 2021,22868,61321,84189
58,November 30 2021,23277,62957,86234
59,December 31 2021,23557,64459,88016
60,January 31 2022,23893,66052,89945
61,February 28 2022,24197,67649,91846
62,March 31 2022,24651,69247,93898
63,April 30 2022,25010,71649,96659
64,May 31 2022,25478,73035,98513
65,June 30 2022,25990,74717,100707
66,July 31 2022,26295,77169,103464
67,August 31 2022,26749,79477,106226
68,September 30 2022,27083,80944,108027
69,October 31 2022,27431,84212,111643
70,November 30 2022,27778,87508,115286
71,December 31 2022,28203,89874,118077
72,January 31 2023,28741,93168,121909
73,February 28 2023,29290,95624,124914
74,March 31 2023,29965,98215,128180
75,April 30 2023,30906,101596,132502
76,May 31 2023,31718,105145,136863
77,June 30 2023,32594,108815,141409
78,July 31 2023,33228,112485,145713
79,August 31 2023,34111,118072,152183
80,September 30 2023,34951,121439,156390
81,October 31 2023,35694,125478,161172
82,November 30 2023,36211,128191,164402
83,December 31 2023,36507,130293,166800
